sentences,sim_features
they 'll continue they trip Saturday in Indiana against the Pacers . ,"{""HOME-TEAM-PTS_QTR1"": 27, ""VIS-TEAM-PTS_QTR1"": 26, ""HOME-NEXT-HOME"": 0, ""HOME-NEXT-VIS"": 1, ""VIS-NEXT-HOME"": 0, ""VIS-NEXT-VIS"": 1, ""HOME-TEAM-PTS_QTR2"": 17, ""VIS-TEAM-PTS_QTR2"": 41, ""HOME-TEAM-PTS_QTR3"": 23, ""VIS-TEAM-PTS_QTR3"": 25, ""HOME-TEAM-PTS_QTR4"": 29, ""VIS-TEAM-PTS_QTR4"": 30, ""HOME-TEAM-PTS"": 96, ""VIS-TEAM-PTS"": 122, ""HOME-TEAM-FGM"": 36, ""VIS-TEAM-FGM"": 44, ""HOME-TEAM-FGA"": 78, ""VIS-TEAM-FGA"": 86, ""HOME-TEAM-FG_PCT"": 46, ""VIS-TEAM-FG_PCT"": 51, ""HOME-TEAM-FG3M"": 4, ""VIS-TEAM-FG3M"": 13, ""HOME-TEAM-FG3A"": 23, ""VIS-TEAM-FG3A"": 31, ""HOME-TEAM-FG3_PCT"": 17, ""VIS-TEAM-FG3_PCT"": 42, ""HOME-TEAM-FTM"": 20, ""VIS-TEAM-FTM"": 21, ""HOME-TEAM-FTA"": 33, ""VIS-TEAM-FTA"": 23, ""HOME-TEAM-FT_PCT"": 61, ""VIS-TEAM-FT_PCT"": 91, ""HOME-TEAM-REB"": 39, ""VIS-TEAM-REB"": 46, ""HOME-TEAM-AST"": 18, ""VIS-TEAM-AST"": 24, ""HOME-TEAM-TOV"": 17, ""VIS-TEAM-TOV"": 13, ""HOME-TEAM-WINS"": 0, ""VIS-TEAM-WINS"": 8, ""HOME-TEAM-LOSSES"": 12, ""VIS-TEAM-LOSSES"": 5, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 15, ""VIS-TEAM-STANDING"": 8, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 0, ""VIS-STREAK-COUNT"": 0}"
"Next up , the 76ers head to Detroit to take on the Pistons on Saturday night . ","{""HOME-TEAM-PTS_QTR1"": 24, ""VIS-TEAM-PTS_QTR1"": 31, ""HOME-NEXT-HOME"": 0, ""HOME-NEXT-VIS"": 1, ""VIS-NEXT-HOME"": 0, ""VIS-NEXT-VIS"": 1, ""HOME-TEAM-PTS_QTR2"": 23, ""VIS-TEAM-PTS_QTR2"": 26, ""HOME-TEAM-PTS_QTR3"": 20, ""VIS-TEAM-PTS_QTR3"": 25, ""HOME-TEAM-PTS_QTR4"": 24, ""VIS-TEAM-PTS_QTR4"": 21, ""HOME-TEAM-PTS"": 91, ""VIS-TEAM-PTS"": 103, ""HOME-TEAM-FGM"": 32, ""VIS-TEAM-FGM"": 35, ""HOME-TEAM-FGA"": 84, ""VIS-TEAM-FGA"": 71, ""HOME-TEAM-FG_PCT"": 38, ""VIS-TEAM-FG_PCT"": 49, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 9, ""HOME-TEAM-FG3A"": 28, ""VIS-TEAM-FG3A"": 23, ""HOME-TEAM-FG3_PCT"": 29, ""VIS-TEAM-FG3_PCT"": 39, ""HOME-TEAM-FTM"": 19, ""VIS-TEAM-FTM"": 24, ""HOME-TEAM-FTA"": 30, ""VIS-TEAM-FTA"": 31, ""HOME-TEAM-FT_PCT"": 63, ""VIS-TEAM-FT_PCT"": 77, ""HOME-TEAM-REB"": 44, ""VIS-TEAM-REB"": 40, ""HOME-TEAM-AST"": 25, ""VIS-TEAM-AST"": 27, ""HOME-TEAM-TOV"": 17, ""VIS-TEAM-TOV"": 16, ""HOME-TEAM-WINS"": 1, ""VIS-TEAM-WINS"": 6, ""HOME-TEAM-LOSSES"": 18, ""VIS-TEAM-LOSSES"": 13, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 15, ""VIS-TEAM-STANDING"": 12, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 1, ""VIS-STREAK-COUNT"": 2}"
the Hornets have a quick turnaround as the Hornets will host the Pacers on Sunday . ,"{""HOME-TEAM-PTS_QTR1"": 23, ""VIS-TEAM-PTS_QTR1"": 24, ""HOME-NEXT-HOME"": 1, ""HOME-NEXT-VIS"": 0, ""VIS-NEXT-HOME"": 1, ""VIS-NEXT-VIS"": 0, ""HOME-TEAM-PTS_QTR2"": 19, ""VIS-TEAM-PTS_QTR2"": 24, ""HOME-TEAM-PTS_QTR3"": 28, ""VIS-TEAM-PTS_QTR3"": 13, ""HOME-TEAM-PTS_QTR4"": 19, ""VIS-TEAM-PTS_QTR4"": 20, ""HOME-TEAM-PTS"": 89, ""VIS-TEAM-PTS"": 81, ""HOME-TEAM-FGM"": 29, ""VIS-TEAM-FGM"": 29, ""HOME-TEAM-FGA"": 74, ""VIS-TEAM-FGA"": 84, ""HOME-TEAM-FG_PCT"": 39, ""VIS-TEAM-FG_PCT"": 35, ""HOME-TEAM-FG3M"": 9, ""VIS-TEAM-FG3M"": 6, ""HOME-TEAM-FG3A"": 23, ""VIS-TEAM-FG3A"": 23, ""HOME-TEAM-FG3_PCT"": 39, ""VIS-TEAM-FG3_PCT"": 26, ""HOME-TEAM-FTM"": 22, ""VIS-TEAM-FTM"": 17, ""HOME-TEAM-FTA"": 30, ""VIS-TEAM-FTA"": 20, ""HOME-TEAM-FT_PCT"": 73, ""VIS-TEAM-FT_PCT"": 85, ""HOME-TEAM-REB"": 47, ""VIS-TEAM-REB"": 43, ""HOME-TEAM-AST"": 19, ""VIS-TEAM-AST"": 24, ""HOME-TEAM-TOV"": 15, ""VIS-TEAM-TOV"": 12, ""HOME-TEAM-WINS"": 12, ""VIS-TEAM-WINS"": 22, ""HOME-TEAM-LOSSES"": 40, ""VIS-TEAM-LOSSES"": 28, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 7, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 2, ""VIS-STREAK-COUNT"": 3}"
"Up next , the 76ers head to Orlando to take on the Magic on Sunday . ","{""HOME-TEAM-PTS_QTR1"": 16, ""VIS-TEAM-PTS_QTR1"": 23, ""HOME-NEXT-HOME"": 0, ""HOME-NEXT-VIS"": 1, ""VIS-NEXT-HOME"": 1, ""VIS-NEXT-VIS"": 0, ""HOME-TEAM-PTS_QTR2"": 24, ""VIS-TEAM-PTS_QTR2"": 35, ""HOME-TEAM-PTS_QTR3"": 28, ""VIS-TEAM-PTS_QTR3"": 29, ""HOME-TEAM-PTS_QTR4"": 27, ""VIS-TEAM-PTS_QTR4"": 19, ""HOME-TEAM-PTS"": 95, ""VIS-TEAM-PTS"": 106, ""HOME-TEAM-FGM"": 34, ""VIS-TEAM-FGM"": 40, ""HOME-TEAM-FGA"": 84, ""VIS-TEAM-FGA"": 83, ""HOME-TEAM-FG_PCT"": 40, ""VIS-TEAM-FG_PCT"": 48, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 8, ""HOME-TEAM-FG3A"": 25, ""VIS-TEAM-FG3A"": 22, ""HOME-TEAM-FG3_PCT"": 32, ""VIS-TEAM-FG3_PCT"": 36, ""HOME-TEAM-FTM"": 19, ""VIS-TEAM-FTM"": 18, ""HOME-TEAM-FTA"": 29, ""VIS-TEAM-FTA"": 22, ""HOME-TEAM-FT_PCT"": 66, ""VIS-TEAM-FT_PCT"": 82, ""HOME-TEAM-REB"": 47, ""VIS-TEAM-REB"": 44, ""HOME-TEAM-AST"": 18, ""VIS-TEAM-AST"": 24, ""HOME-TEAM-TOV"": 17, ""VIS-TEAM-TOV"": 15, ""HOME-TEAM-WINS"": 12, ""VIS-TEAM-WINS"": 22, ""HOME-TEAM-LOSSES"": 42, ""VIS-TEAM-LOSSES"": 33, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 14, ""VIS-TEAM-STANDING"": 11, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 1, ""VIS-STREAK-COUNT"": 0}"
The Bucks have been a surprise this season and will look to continue with The Bucks momentum . ,"{""HOME-TEAM-PTS_QTR1"": 26, ""VIS-TEAM-PTS_QTR1"": 31, ""HOME-NEXT-HOME"": 0, ""HOME-NEXT-VIS"": 1, ""VIS-NEXT-HOME"": 1, ""VIS-NEXT-VIS"": 0, ""HOME-TEAM-PTS_QTR2"": 23, ""VIS-TEAM-PTS_QTR2"": 17, ""HOME-TEAM-PTS_QTR3"": 30, ""VIS-TEAM-PTS_QTR3"": 19, ""HOME-TEAM-PTS_QTR4"": 19, ""VIS-TEAM-PTS_QTR4"": 19, ""HOME-TEAM-PTS"": 98, ""VIS-TEAM-PTS"": 86, ""HOME-TEAM-FGM"": 39, ""VIS-TEAM-FGM"": 36, ""HOME-TEAM-FGA"": 90, ""VIS-TEAM-FGA"": 78, ""HOME-TEAM-FG_PCT"": 43, ""VIS-TEAM-FG_PCT"": 46, ""HOME-TEAM-FG3M"": 10, ""VIS-TEAM-FG3M"": 7, ""HOME-TEAM-FG3A"": 22, ""VIS-TEAM-FG3A"": 20, ""HOME-TEAM-FG3_PCT"": 45, ""VIS-TEAM-FG3_PCT"": 35, ""HOME-TEAM-FTM"": 10, ""VIS-TEAM-FTM"": 7, ""HOME-TEAM-FTA"": 13, ""VIS-TEAM-FTA"": 17, ""HOME-TEAM-FT_PCT"": 77, ""VIS-TEAM-FT_PCT"": 41, ""HOME-TEAM-REB"": 50, ""VIS-TEAM-REB"": 36, ""HOME-TEAM-AST"": 22, ""VIS-TEAM-AST"": 23, ""HOME-TEAM-TOV"": 16, ""VIS-TEAM-TOV"": 19, ""HOME-TEAM-WINS"": 8, ""VIS-TEAM-WINS"": 3, ""HOME-TEAM-LOSSES"": 7, ""VIS-TEAM-LOSSES"": 11, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 6, ""VIS-TEAM-STANDING"": 14, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 2, ""VIS-STREAK-COUNT"": 2}"
Charlotte will go on the road to face the Oklahoma_City Thunder on Friday . ,"{""HOME-TEAM-PTS_QTR1"": 30, ""VIS-TEAM-PTS_QTR1"": 28, ""HOME-NEXT-HOME"": 0, ""HOME-NEXT-VIS"": 1, ""VIS-NEXT-HOME"": 0, ""VIS-NEXT-VIS"": 1, ""HOME-TEAM-PTS_QTR2"": 26, ""VIS-TEAM-PTS_QTR2"": 26, ""HOME-TEAM-PTS_QTR3"": 24, ""VIS-TEAM-PTS_QTR3"": 34, ""HOME-TEAM-PTS_QTR4"": 21, ""VIS-TEAM-PTS_QTR4"": 20, ""HOME-TEAM-PTS"": 101, ""VIS-TEAM-PTS"": 108, ""HOME-TEAM-FGM"": 39, ""VIS-TEAM-FGM"": 36, ""HOME-TEAM-FGA"": 82, ""VIS-TEAM-FGA"": 82, ""HOME-TEAM-FG_PCT"": 48, ""VIS-TEAM-FG_PCT"": 44, ""HOME-TEAM-FG3M"": 8, ""VIS-TEAM-FG3M"": 8, ""HOME-TEAM-FG3A"": 21, ""VIS-TEAM-FG3A"": 21, ""HOME-TEAM-FG3_PCT"": 38, ""VIS-TEAM-FG3_PCT"": 38, ""HOME-TEAM-FTM"": 15, ""VIS-TEAM-FTM"": 28, ""HOME-TEAM-FTA"": 20, ""VIS-TEAM-FTA"": 36, ""HOME-TEAM-FT_PCT"": 75, ""VIS-TEAM-FT_PCT"": 78, ""HOME-TEAM-REB"": 40, ""VIS-TEAM-REB"": 43, ""HOME-TEAM-AST"": 25, ""VIS-TEAM-AST"": 21, ""HOME-TEAM-TOV"": 20, ""VIS-TEAM-TOV"": 12, ""HOME-TEAM-WINS"": 14, ""VIS-TEAM-WINS"": 10, ""HOME-TEAM-LOSSES"": 15, ""VIS-TEAM-LOSSES"": 19, ""HOME-WINNER"": 0, ""VIS-WINNER"": 1, ""HOME-TEAM-STANDING"": 6, ""VIS-TEAM-STANDING"": 11, ""HOME-STREAK-TYPE"": 0, ""VIS-STREAK-TYPE"": 1, ""HOME-STREAK-COUNT"": 0, ""VIS-STREAK-COUNT"": 1}"
The Phoenix Suns ( 21 - 16 ) will travel to Minnesota to take on the Timberwolves on Wednesday . ,"{""HOME-TEAM-PTS_QTR1"": 21, ""VIS-TEAM-PTS_QTR1"": 15, ""HOME-NEXT-HOME"": 0, ""HOME-NEXT-VIS"": 1, ""VIS-NEXT-HOME"": 0, ""VIS-NEXT-VIS"": 1, ""HOME-TEAM-PTS_QTR2"": 23, ""VIS-TEAM-PTS_QTR2"": 28, ""HOME-TEAM-PTS_QTR3"": 28, ""VIS-TEAM-PTS_QTR3"": 28, ""HOME-TEAM-PTS_QTR4"": 24, ""VIS-TEAM-PTS_QTR4"": 31, ""HOME-TEAM-PTS"": 96, ""VIS-TEAM-PTS"": 102, ""HOME-TEAM-FGM"": 37, ""VIS-TEAM-FGM"": 37, ""HOME-TEAM-FGA"": 88, ""VIS-TEAM-FGA"": 81, ""HOME-TEAM-FG_PCT"": 42, ""VIS-TEAM-FG_PCT"": 46, ""HOME-TEAM-FG3M"": 3, ""VIS-TEAM-FG3M"": 7, ""HOME-TEAM-FG3A"": 20, ""VIS-TEAM-FG3A"": 25, ""HOME-TEAM-FG3_PCT"": 15, ""VIS-TEAM-FG3_PCT"": 28, ""HOME-TEAM-FTM"": 19, ""VIS-TEAM-FTM"": 21, ""HOME-TEAM-FTA"": 22, ""VIS-TEAM-FTA"": 27, ""HOME-TEAM-FT_PCT"": 86, ""VIS-TEAM-FT_PCT"": 78, ""HOME-TEAM-REB"": 44, ""VIS-TEAM-REB"": 46, ""HOME-TEAM-AST"": 22, ""VIS-TEAM-AST"": 19, ""HOME-TEAM-TOV"": 17, ""VIS-TEAM-TOV"": 19, ""HOME-TEAM-WINS"": 18, ""VIS-TEAM-WINS"": 21, ""HOME-TEAM-LOSSES"": 18, ""VIS-TEAM-LOSSES"": 16, ""HOME-WINNER"": 1, ""VIS-WINNER"": 0, ""HOME-TEAM-STANDING"": 6, ""VIS-TEAM-STANDING"": 8, ""HOME-STREAK-TYPE"": 1, ""VIS-STREAK-TYPE"": 0, ""HOME-STREAK-COUNT"": 1, ""VIS-STREAK-COUNT"": 0}"
the Nets will take on the Memphis Grizzlies on Wednesday . ,"{""HOME-TEAM-PTS_QTR1"": 24, ""VIS-TEAM-PTS_QTR1"": 30, ""HOME-NEXT-HOME"": 1, ""HOME-NEXT-VIS"": 0, ""VIS-NEXT-HOME"": 0, ""VIS-NEXT-VIS"": 1, ""HOME-TEAM-PTS_QTR2"": 23, ""VIS-TEAM-PTS_QTR2"": 22, ""HOME-TEAM-PTS_QTR3"": 32, ""VIS-TEAM-PTS_QTR3"": 16, ""HOME-TEAM-PTS_QTR4"": 24, ""VIS-TEAM-PTS_QTR4"": 29, ""HOME-TEAM-PTS"": 103, ""VIS-TEAM-PTS"": 97, ""HOME-TEAM-FGM"": 37, ""VIS-TEAM-FGM"": 38, ""HOME-TEAM-FGA"": 89, ""VIS-TEAM-FGA"": 76, ""HOME-TEAM-FG_PCT"": 42, ""VIS-TEAM-FG_PCT"": 50, ""HOME-TEAM-FG3M"": 7, ""VIS-TEAM-FG3M"": 9, ""HOME-TEAM-FG3A"": 18, ""VIS-TEAM-FG3A"": 25, ""HOME-TEAM-FG3_PCT"": 39, ""VIS-TEAM-FG3_PCT"": 36, ""HOME-TEAM-FTM"": 22, ""VIS-TEAM-FTM"": 12, ""HOME-TEAM-FTA"": 25, ""VIS-TEAM-FTA"": 19, ""HOME-TEAM-FT_PCT"": 88, ""VIS-TEAM-FT_PCT"": 63, ""HOME-TEAM-REB"": 44, ""VIS-TEAM-REB"": 38, ""HOME-TEAM-AST"": 25, ""VIS-TEAM-AST"": 25, ""HOME-TEAM-TOV"": 9, ""VIS-TEAM-TOV"": 15, ""HOME-TEAM-WINS"": 29, ""VIS-TEAM-WINS"": 21, ""HOME-TEAM-LOSSES"": 23, ""VIS-TEAM-LOSSES"": 30, ""HOME-WINNER"": 0, ""VIS-WINNER"": 1, ""HOME-TEAM-STANDING"": 6, ""VIS-TEAM-STANDING"": 9, ""HOME-STREAK-TYPE"": 0, ""VIS-STREAK-TYPE"": 1, ""HOME-STREAK-COUNT"": 0, ""VIS-STREAK-COUNT"": 1}"
"Up next , the Bulls ’ travel to Memphis to take on the red - hot Grizzlies on Friday . ","{""HOME-TEAM-PTS_QTR1"": 30, ""VIS-TEAM-PTS_QTR1"": 20, ""HOME-NEXT-HOME"": 0, ""HOME-NEXT-VIS"": 1, ""VIS-NEXT-HOME"": 1, ""VIS-NEXT-VIS"": 0, ""HOME-TEAM-PTS_QTR2"": 22, ""VIS-TEAM-PTS_QTR2"": 25, ""HOME-TEAM-PTS_QTR3"": 21, ""VIS-TEAM-PTS_QTR3"": 29, ""HOME-TEAM-PTS_QTR4"": 30, ""VIS-TEAM-PTS_QTR4"": 23, ""HOME-TEAM-PTS"": 103, ""VIS-TEAM-PTS"": 97, ""HOME-TEAM-FGM"": 34, ""VIS-TEAM-FGM"": 38, ""HOME-TEAM-FGA"": 75, ""VIS-TEAM-FGA"": 82, ""HOME-TEAM-FG_PCT"": 45, ""VIS-TEAM-FG_PCT"": 46, ""HOME-TEAM-FG3M"": 12, ""VIS-TEAM-FG3M"": 6, ""HOME-TEAM-FG3A"": 23, ""VIS-TEAM-FG3A"": 9, ""HOME-TEAM-FG3_PCT"": 52, ""VIS-TEAM-FG3_PCT"": 67, ""HOME-TEAM-FTM"": 23, ""VIS-TEAM-FTM"": 15, ""HOME-TEAM-FTA"": 30, ""VIS-TEAM-FTA"": 19, ""HOME-TEAM-FT_PCT"": 77, ""VIS-TEAM-FT_PCT"": 79, ""HOME-TEAM-REB"": 32, ""VIS-TEAM-REB"": 41, ""HOME-TEAM-AST"": 23, ""VIS-TEAM-AST"": 19, ""HOME-TEAM-TOV"": 11, ""VIS-TEAM-TOV"": 16, ""HOME-TEAM-WINS"": 16, ""VIS-TEAM-WINS"": 5, ""HOME-TEAM-LOSSES"": 9, ""VIS-TEAM-LOSSES"": 23, ""HOME-WINNER"": 0, ""VIS-WINNER"": 1, ""HOME-TEAM-STANDING"": 4, ""VIS-TEAM-STANDING"": 14, ""HOME-STREAK-TYPE"": 0, ""VIS-STREAK-TYPE"": 1, ""HOME-STREAK-COUNT"": 6, ""VIS-STREAK-COUNT"": 0}"
Chicago takes the court again on Saturday against New_Orleans . ,"{""HOME-TEAM-PTS_QTR1"": 27, ""VIS-TEAM-PTS_QTR1"": 24, ""HOME-NEXT-HOME"": 1, ""HOME-NEXT-VIS"": 0, ""VIS-NEXT-HOME"": 0, ""VIS-NEXT-VIS"": 1, ""HOME-TEAM-PTS_QTR2"": 31, ""VIS-TEAM-PTS_QTR2"": 23, ""HOME-TEAM-PTS_QTR3"": 25, ""VIS-TEAM-PTS_QTR3"": 30, ""HOME-TEAM-PTS_QTR4"": 30, ""VIS-TEAM-PTS_QTR4"": 16, ""HOME-TEAM-PTS"": 113, ""VIS-TEAM-PTS"": 93, ""HOME-TEAM-FGM"": 42, ""VIS-TEAM-FGM"": 36, ""HOME-TEAM-FGA"": 86, ""VIS-TEAM-FGA"": 92, ""HOME-TEAM-FG_PCT"": 49, ""VIS-TEAM-FG_PCT"": 39, ""HOME-TEAM-FG3M"": 10, ""VIS-TEAM-FG3M"": 5, ""HOME-TEAM-FG3A"": 24, ""VIS-TEAM-FG3A"": 16, ""HOME-TEAM-FG3_PCT"": 42, ""VIS-TEAM-FG3_PCT"": 31, ""HOME-TEAM-FTM"": 19, ""VIS-TEAM-FTM"": 16, ""HOME-TEAM-FTA"": 25, ""VIS-TEAM-FTA"": 21, ""HOME-TEAM-FT_PCT"": 76, ""VIS-TEAM-FT_PCT"": 76, ""HOME-TEAM-REB"": 57, ""VIS-TEAM-REB"": 39, ""HOME-TEAM-AST"": 27, ""VIS-TEAM-AST"": 18, ""HOME-TEAM-TOV"": 13, ""VIS-TEAM-TOV"": 4, ""HOME-TEAM-WINS"": 20, ""VIS-TEAM-WINS"": 9, ""HOME-TEAM-LOSSES"": 9, ""VIS-TEAM-LOSSES"": 20, ""HOME-WINNER"": 0, ""VIS-WINNER"": 1, ""HOME-TEAM-STANDING"": 4, ""VIS-TEAM-STANDING"": 13, ""HOME-STREAK-TYPE"": 0, ""VIS-STREAK-TYPE"": 1, ""HOME-STREAK-COUNT"": 3, ""VIS-STREAK-COUNT"": 0}"
